"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 11:27:49 GMT 2024","Fri Feb 02 11:27:50 GMT 2024","1865","","Regression","","Tests.AvailabilityTest","MultiAvailabilityCount(locationId: ""357389"", locationName: ""Mumbai"", expectedCount: 1)","MultiAvailabilityCount",""
"passed","Fri Feb 02 11:27:37 GMT 2024","Fri Feb 02 11:27:48 GMT 2024","11457","","Smoke","","Tests.AvailabilityTest","SearchToBookSingleRoomFlow(locationId: ""357389"", locationName: ""Mumbai"", expectedCount: 1)","SearchToBookSingleRoomFlow",""
"passed","Fri Feb 02 11:27:50 GMT 2024","Fri Feb 02 11:27:52 GMT 2024","1866","","Regression","","Tests.AvailabilityTest","SearchResults(locationId: ""357389"", locationName: ""Mumbai"", expectedCount: 1)","SearchResults",""
"passed","Fri Feb 02 11:27:52 GMT 2024","Fri Feb 02 11:27:58 GMT 2024","5977","","Smoke","","Tests.AvailabilityTest","SearchToBookMultiRoomFlow(locationId: ""357389"", locationName: ""Mumbai"", expectedCount: 1)","SearchToBookMultiRoomFlow",""
